RBD,NOM_RBD,NOM_COM_RBD,lon,lat,REGION,COD_REGION
131,LICEO PARTICULAR MIXTO ESCASCE,IQUIQUE,-70.1482274,-20.2244828,Tarapacá,1
132,LICEO ACADEMIA IQUIQUE,IQUIQUE,-70.1480662,-20.2195664,Tarapacá,1
133,COLEGIO ADVENTISTA DE IQUIQUE,IQUIQUE,-70.1485044,-20.2251836,Tarapacá,1
134,LICEO ATENEA,IQUIQUE,-70.15431,-20.21563,Tarapacá,1
144,COLEGIO IQUIQUE YOUNG SCHOOL,IQUIQUE,-70.1431817,-20.2237091,Tarapacá,1
154,ESCUELA BASICA FRONTERIZA,HUARA,-84.1799675,39.7393,Tarapacá,1
156,ESCUELA PISAGUA,HUARA,-70.2126125,-19.5980268,Tarapacá,1
158,ESCUELA CHIAPA,HUARA,-69.2061866,-19.5367303,Tarapacá,1
159,ESCUELA JAINA,HUARA,-69.2462213,-19.5552107,Tarapacá,1
160,ESCUELA PACHICA,HUARA,-69.4317161,-19.8660438,Tarapacá,1
161,LICEO DE HUARA,HUARA,-69.7729053,-19.9968869,Tarapacá,1
162,ESCUELA SIBAYA,HUARA,-69.1738372,-19.7832665,Tarapacá,1
165,ESCUELA CHUSMIZA,HUARA,-106.4472997,31.7595457,Tarapacá,1
167,ESCUELA CAMINA,CAMIÑA,-102.065054,26.9834945,Tarapacá,1
168,ESCUELA CUISAMA,CAMIÑA,-70.142553,-20.212127,Tarapacá,1
169,ESCUELA QUISTAGAMA,CAMIÑA,-69.4276536,-19.3116567,Tarapacá,1
170,ESCUELA NAMA,CAMIÑA,-69.4276536,-19.3116567,Tarapacá,1
171,ESCUELA APAMILCA,CAMIÑA,-70.1279963,-20.2336135,Tarapacá,1
172,ESCUELA CHAPIQUILTA,CAMIÑA,-69.3238302,-20.4876959,Tarapacá,1
173,ESCUELA MOQUELLA,CAMIÑA,-69.4276536,-19.3116567,Tarapacá,1
174,ESCUELA FRANCIA,CAMIÑA,-69.4276536,-19.3116567,Tarapacá,1
175,ESCUELA YALA YALA,CAMIÑA,-65.1847196,-23.4364741,Tarapacá,1
177,ESCUELA BASICA CARIQUIMA,COLCHANE,-68.6438216,-19.4689572,Tarapacá,1
178,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,-68.6388049,-19.2761393,Tarapacá,1
179,ESCUELA BASICA MAUQUE,COLCHANE,-68.8803248,-19.3212388,Tarapacá,1
185,ESCUELA BASICA PISIGA-CHOQUE,COLCHANE,-68.65,-19.2667,Tarapacá,1
186,ESCUELA BASICA ENQUELGA,COLCHANE,-68.639615,-19.276402,Tarapacá,1
187,ESCUELA VERTIENTE DEL SABER,PICA,-69.3238302,-20.4876959,Tarapacá,1
188,ESC. MATILLA DE NUEVA EXTREMADURA,PICA,-69.3598297,-20.512914,Tarapacá,1
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,POZO ALMONTE,-69.7850832,-20.2531601,Tarapacá,1
192,ESCUELA BASICA MAMINA,POZO ALMONTE,-69.7860127,-20.2567092,Tarapacá,1
193,ESCUELA BASICA POZO ALMONTE,POZO ALMONTE,-69.7870838,-20.2516141,Tarapacá,1
195,ESCUELA BASICA LA TIRANA,POZO ALMONTE,-69.7860127,-20.2567092,Tarapacá,1
196,ESCUELA BASICA HUATACONDO,POZO ALMONTE,-69.655163,-20.3379014,Tarapacá,1
198,ESCUELA BASICA LA HUAYCA,POZO ALMONTE,-69.7860127,-20.2567092,Tarapacá,1
199,LICEO DOMINGO LATRILLE LASTAUNOU,TOCOPILLA,-70.1943618,-22.0881849,Antofagasta,2
200,LICEO POLITECNICO DIEGO PORTALES P.,TOCOPILLA,-70.1957206,-22.0850527,Antofagasta,2
201,ESCUELA CARLOS CONDELL DE LA HAZA,TOCOPILLA,-70.203479,-22.0939487,Antofagasta,2
203,ESCUELA PABLO NERUDA,TOCOPILLA,-70.1930064,-22.0857976,Antofagasta,2
204,ESCUELA L.GRAL.BERNARDO Oï¿½HIGGINS R.,TOCOPILLA,-70.1895619,-22.0857129,Antofagasta,2
205,ESCUELA ARTURO PRAT CHACON,TOCOPILLA,-70.1951312,-22.0887653,Antofagasta,2
206,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,TOCOPILLA,-70.2100916,-22.1085478,Antofagasta,2
208,COLEGIO SAGRADA FAMILIA,TOCOPILLA,-70.2048066,-22.0946485,Antofagasta,2
210,ESCUELA ARTURO PEREZ CANTO,MARIA ELENA,-69.6666546,-22.3454117,Antofagasta,2
211,LICEO  H.C. T.P.  MARIA ELENA,MARIA ELENA,-84.1799675,39.7393,Antofagasta,2
214,ESCUELA IGNACIO CARRERA PINTO,MARIA ELENA,-69.5348314,-21.6608437,Antofagasta,2
217,LICEO LUIS CRUZ MARTINEZ,CALAMA,-68.9263752,-22.4548897,Antofagasta,2
218,LICEO FRANCISCO DE AGUIRRE,CALAMA,-68.9317048,-22.4582277,Antofagasta,2
219,LICEO POLITECNICO CESAREO AGUIRRE G.,CALAMA,-68.9205004,-22.4584761,Antofagasta,2
220,LICEO MINERO AMï¿½RICA,CALAMA,-68.924631,-22.4378814,Antofagasta,2
222,CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A,CALAMA,-68.9244206,-22.4602889,Antofagasta,2
223,ESCUELA CLAUDIO ARRAU,CALAMA,-68.9261393,-22.4493753,Antofagasta,2
224,ESCUELA GRECIA,CALAMA,-68.9341601,-22.4603655,Antofagasta,2
225,ESCUELA REPUBLICA DE BOLIVIA,CALAMA,-68.928772,-22.462751,Antofagasta,2
226,ESCUELA BASICA EMILIO SOTOMAYOR,CALAMA,-68.922965,-22.4386569,Antofagasta,2
227,ESCUELA BASICA PRESIDENTE BALMACEDA,CALAMA,-68.9231805,-22.4591917,Antofagasta,2
228,ESCUELA BASICA VADO DE TOPATER,CALAMA,-68.9299357,-22.4765854,Antofagasta,2
229,ESCUELA REPUBLICA DE CHILE,CALAMA,-68.9073076,-22.4437172,Antofagasta,2
230,ESCUELA BASICA ANDRES BELLO,CALAMA,-68.9179019,-22.456212,Antofagasta,2
231,ESCUELA BASICA JOHN FITZGERALD KENNEDY,CALAMA,-68.9201446,-22.4545206,Antofagasta,2
232,ESCUELA BASICA PEDRO VERGARA KELLER,CALAMA,-68.9327718,-22.4420351,Antofagasta,2
239,ESCUELA BASICA 21 DE MAYO,CALAMA,-68.932142,-22.4508041,Antofagasta,2
240,ESCUELA BASICA REPUBLICA DE FRANCIA,CALAMA,-68.9325445,-22.4745107,Antofagasta,2
243,ESCUELA BASICA PUKARA,CALAMA,-68.9073076,-22.4437172,Antofagasta,2
246,ESCUELA BASICA SENORA DE LA CANDELARIA,CALAMA,-68.928772,-22.462751,Antofagasta,2
248,ESCUELA BASICA SAN JOSE,CALAMA,-68.9261393,-22.4493753,Antofagasta,2
252,ESCUELA BASICA SAN FRANCISCO,CALAMA,-68.6502955,-22.3426366,Antofagasta,2
253,COLEGIO ADVENTISTA DE CALAMA,CALAMA,-68.9268497,-22.4655173,Antofagasta,2
254,FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA,CALAMA,-68.9277027,-22.4619514,Antofagasta,2
255,COLEGIO  EJERCITO DE SALVACION,CALAMA,-68.9306503,-22.459896,Antofagasta,2
256,INSTITUTO OBISPO SILVA LEZAETA,CALAMA,-68.9265124,-22.4695469,Antofagasta,2
257,COLEGIO CHUQUICAMATA,CALAMA,-68.9116104,-22.4785154,Antofagasta,2
268,ESC. BASICA RURAL SAN ANTONIO DE PADUA,OLLAGÜE,-68.2551343,-21.2248711,Antofagasta,2
