"","RBD","NOM_RBD","NOM_COM_RBD","query","lon","lat"
"1954",3059,"ESCUELA DEIDAMIA PAREDES BELLO","SAN CLEMENTE","ESCUELA DEIDAMIA PAREDES BELLO ,  SAN CLEMENTE",-71.4199903,-35.530367
"1955",3060,"ESCUELA RAMADILLAS","SAN CLEMENTE","ESCUELA RAMADILLAS ,  SAN CLEMENTE",-71.5069443,-35.5252198
"1956",3061,"ESCUELA PUNTA DE DIAMANTE","SAN CLEMENTE","ESCUELA PUNTA DE DIAMANTE ,  SAN CLEMENTE",-71.3218594,-35.4948037
"1957",3062,"ESCUELA PEUMO NEGRO","SAN CLEMENTE","ESCUELA PEUMO NEGRO ,  SAN CLEMENTE",-71.4151923,-35.448479
"1958",3063,"ESCUELA CORRALONES","SAN CLEMENTE","ESCUELA CORRALONES ,  SAN CLEMENTE",-71.419561,-35.5509834
"1959",3065,"ESCUELA ENRIQUE CORREA GUZMAN","SAN CLEMENTE","ESCUELA ENRIQUE CORREA GUZMAN ,  SAN CLEMENTE",-84.1799675,39.7393
"1960",3067,"ESCUELA LEOPOLDO GUARDA GEYNTES","SAN CLEMENTE","ESCUELA LEOPOLDO GUARDA GEYNTES ,  SAN CLEMENTE",-84.1799675,39.7393
"1961",3068,"ESCUELA BELLA UNION","SAN CLEMENTE","ESCUELA BELLA UNION ,  SAN CLEMENTE",-71.4985116,-35.5748911
"1962",3069,"ESCUELA QUERI","SAN CLEMENTE","ESCUELA QUERI ,  SAN CLEMENTE",-71.4297872,-35.5882818
"1963",3070,"ESCUELA CHEQUEN DE LA PENA","SAN CLEMENTE","ESCUELA CHEQUEN DE LA PENA ,  SAN CLEMENTE",-71.5649015,-35.557184
"1964",3073,"ESCUELA BAJO LIRCAY","SAN CLEMENTE","ESCUELA BAJO LIRCAY ,  SAN CLEMENTE",-71.3183665,-35.4756118
"1965",3076,"ESCUELA BRAMADERO","SAN CLEMENTE","ESCUELA BRAMADERO ,  SAN CLEMENTE",-71.2547222,-35.6141667
"1966",3077,"ESCUELA COREL","SAN CLEMENTE","ESCUELA COREL ,  SAN CLEMENTE",-71.2054211,-35.5882373
"1967",3079,"ESCUELA ELENA BURGOS MOREIRA","SAN CLEMENTE","ESCUELA ELENA BURGOS MOREIRA ,  SAN CLEMENTE",-71.4776509,-35.5103226
"1968",3080,"ESCUELA SAN VALERIANO","SAN CLEMENTE","ESCUELA SAN VALERIANO ,  SAN CLEMENTE",-117.625391,33.467062
"1969",3081,"ESCUELA BAJO PERQUIN","SAN CLEMENTE","ESCUELA BAJO PERQUIN ,  SAN CLEMENTE",-71.3392902,-35.5678575
"1970",3082,"ESCUELA SAN DIEGO","SAN CLEMENTE","ESCUELA SAN DIEGO ,  SAN CLEMENTE",-117.6126004,33.4273521
"1971",3084,"ESCUELA LOS ROBLES DE VILCHES CENTRO","SAN CLEMENTE","ESCUELA LOS ROBLES DE VILCHES CENTRO ,  SAN CLEMENTE",-71.2054211,-35.5882373
"1972",3085,"ESCUELA PASO NEVADO","SAN CLEMENTE","ESCUELA PASO NEVADO ,  SAN CLEMENTE",-71.4879938,-35.5383052
"1973",3086,"ESCUELA LOS MONTES","SAN CLEMENTE","ESCUELA LOS MONTES ,  SAN CLEMENTE",-71.281042,-35.5769555
"1974",3088,"ESCUELA VILCHES ALTO","SAN CLEMENTE","ESCUELA VILCHES ALTO ,  SAN CLEMENTE",-71.2085385,-35.5976851
"1975",3090,"ESCUELA EL COLORADO","SAN CLEMENTE","ESCUELA EL COLORADO ,  SAN CLEMENTE",-71.2617152,-35.6417923
"1976",3092,"ESCUELA NACIONES UNIDAS","SAN CLEMENTE","ESCUELA NACIONES UNIDAS ,  SAN CLEMENTE",-117.06015,32.537656
"1977",3093,"ESCUELA CARRETONES","SAN CLEMENTE","ESCUELA CARRETONES ,  SAN CLEMENTE",-71.2347796,-35.5403473
"1978",3096,"ESCUELA LOS ALMENDROS","SAN CLEMENTE","ESCUELA LOS ALMENDROS ,  SAN CLEMENTE",-71.4605518,-35.5820539
"1979",3098,"ESCUELA BASICA LA MINA","SAN CLEMENTE","ESCUELA BASICA LA MINA ,  SAN CLEMENTE",-71.2617152,-35.6417923
"1980",3103,"ESCUELA DE ORION","SAN CLEMENTE","ESCUELA DE ORION ,  SAN CLEMENTE",-117.6168621,33.4400622
"1981",3104,"ESCUELA LA PLACETA","SAN CLEMENTE","ESCUELA LA PLACETA ,  SAN CLEMENTE",-71.4826298,-35.5374647
"1982",3106,"ESCUELA FLOR DEL LLANO","SAN CLEMENTE","ESCUELA FLOR DEL LLANO ,  SAN CLEMENTE",-71.5263753,-35.5073554
"1983",3107,"ESCUELA SANTA ELENA","SAN CLEMENTE","ESCUELA SANTA ELENA ,  SAN CLEMENTE",-71.4656794,-35.4879117
